name,description,instructors,year
Fundamentals of Deep Learning,"Get hands-on with the core mechanics of deep learning through exercises spanning computer vision and natural language. You'll train neural networks from scratch — starting with image classification, layering on convolutional architectures, and improving generalization through data augmentation. From there you'll work with pre-trained models and transfer learning to reach strong accuracy with less data and compute, train a recurrent network on sequential text, and finish with a final project that classifies fresh versus rotten produce. By the end you'll have a working mental model of how modern deep learning frameworks fit together and the confidence to take on your own projects. Technologies: TensorFlow 2 with Keras, Pandas.",David Taubenheim,2024
Efficient Large Language Model (LLM) Customization,"Pretrained LLMs rarely work out-of-the-box for a specific business use case. This workshop walks through the spectrum of customization techniques available in NVIDIA NeMo — prompt engineering, prompt learning, parameter-efficient fine-tuning (PEFT) methods like LoRA and p-tuning, and full fine-tuning — and shows where each fits on the data/compute/accuracy trade-off curve. You'll customize models such as GPT and LLaMA-2 hands-on, learn how to compose multiple adapted models for downstream tasks, and leave with a practical playbook for adapting LLMs to your own domain efficiently.",David Williams,2024
Generative AI with Diffusion Models,"Diffusion models power most of today's state-of-the-art image generation systems. This workshop builds up from the fundamentals — how denoising diffusion works, the role of the U-Net, noise schedules — to text-conditioned generation with CLIP embeddings and the techniques that make systems like Stable Diffusion practical. Through hands-on exercises you'll train your own diffusion models, condition generation on text, and explore applications across creative content, data augmentation, and design. Technologies: PyTorch, Hugging Face Diffusers.",Mohammad Raza,2024
Rapid Application Development Using Large Language Models (LLMs),"Move from LLM concepts to a working application end-to-end. The workshop starts with transformer fundamentals — tokenization, embeddings, attention — then progresses through encoder models for semantic search, classification, and zero-shot tasks, decoder models for generation, and encoder-decoder architectures for translation and few-shot work. You'll bring it together with LangChain for orchestration and agentic workflows, integrate tool calling, and build a multimodal application combining text, images, and external data. Technologies: Python, PyTorch, Hugging Face Transformers, LangChain, LlamaIndex.",Patricia Delafuente,2024
Bootstrapping Computer Vision Models with Synthetic Data,"Training computer vision models traditionally hinges on collecting and labeling real-world data — slow, expensive, and often incomplete. In this workshop you'll use NVIDIA Omniverse Replicator to generate physically simulated synthetic datasets that augment or replace real-world data with diverse, accurately labeled alternatives. You'll work through the Omniverse Defect Extension, parameterize scenes, generate and export labeled images, train deep neural networks on the synthetic data, and iterate to optimize accuracy for inference deployment.",Maycon da Silva Carvalho,2024
Scaling CUDA C++ Applications to Multiple Nodes,"Take CUDA C++ programs from a single GPU to multi-node, multi-GPU scale. The workshop covers the communication primitives and patterns that make this possible — MPI for inter-node coordination, NCCL for collective operations, and NVSHMEM for one-sided GPU-initiated communication — and how to combine them for efficient scaling. You'll profile and tune real workloads, overlap compute with communication, and learn the architectural considerations (NVLink, InfiniBand, topology) that determine how well a code scales across an HPC cluster.",,2024
Model Parallelism: Building and Deploying Large Neural Networks,"When a model is too big to fit on a single GPU, you need to split it across devices. This workshop covers the techniques that make training and serving large models tractable: tensor parallelism (splitting individual layers), pipeline parallelism (splitting layers across stages), and combinations of the two with data parallelism. You'll use the NVIDIA Megatron framework to train large language models hands-on, address memory and communication bottlenecks, and learn the deployment side — how to serve these models efficiently with NVIDIA Triton Inference Server.",Mark Moyou,2024
Fundamentals of Deep Learning,"Get hands-on with the core mechanics of deep learning through exercises spanning computer vision and natural language. You'll train neural networks from scratch — starting with image classification, layering on convolutional architectures, and improving generalization through data augmentation. From there you'll work with pre-trained models and transfer learning to reach strong accuracy with less data and compute, train a recurrent network on sequential text, and finish with a final project that classifies fresh versus rotten produce. By the end you'll have a working mental model of how modern deep learning frameworks fit together and the confidence to take on your own projects. Technologies: TensorFlow 2 with Keras, Pandas.",Gunter Roth,2024
Generative AI with Diffusion Models,"Diffusion models power most of today's state-of-the-art image generation systems. This workshop builds up from the fundamentals — how denoising diffusion works, the role of the U-Net, noise schedules — to text-conditioned generation with CLIP embeddings and the techniques that make systems like Stable Diffusion practical. Through hands-on exercises you'll train your own diffusion models, condition generation on text, and explore applications across creative content, data augmentation, and design. Technologies: PyTorch, Hugging Face Diffusers.",Hassan Sirelkhatim,2024
Building Transformer Based Natural Language Processing Applications,"Build production NLP applications grounded in modern transformer architectures. The workshop starts with the mechanics of self-attention and the transformer block, then walks through encoder models (BERT-family) for understanding tasks like classification and named-entity recognition, and decoder models for generation. You'll use NVIDIA NeMo to fine-tune models on custom data, NVIDIA Triton Inference Server to deploy them, and finish with a project that combines the pieces into an end-to-end NLP pipeline. Technologies: PyTorch, Pandas, NVIDIA NeMo, NVIDIA Triton Inference Server.",Oleg Ovcharenko,2024
Fundamentals of Accelerated Computing with CUDA Python,"Learn to write GPU-accelerated code directly in Python using Numba. The workshop covers the CUDA programming model — threads, blocks, grids, shared memory — and how Numba lets you express kernels as decorated Python functions. You'll accelerate NumPy-style numerical code, write custom kernels for problems that aren't trivially vectorizable, manage data movement between host and device, and apply optimization techniques to get meaningful speedups. A solid choice for Python developers who want a fast on-ramp to GPU programming without dropping to C++.",Paul Graham,2024
Data Parallelism: How To Train Deep Learning Models on Multiple GPUs,"Training time often dominates the deep learning iteration cycle. This workshop teaches data-parallel training — replicating a model across multiple GPUs and synchronizing gradients — to cut wall-clock time substantially. You'll learn how stochastic gradient descent behaves under parallelization, why batch size matters more than people realize (both for speed and final accuracy), and how to port a single-GPU implementation to Horovod for multi-GPU. The lab covers techniques for maintaining accuracy as you scale, including learning-rate scheduling and warmup.",Ignacio Sarasua,2024
Computer Vision for Industrial Inspection,"Defect detection on a manufacturing line is a deceptively hard CV problem: defects are rare, classes are imbalanced, and false negatives are expensive. This workshop walks through an end-to-end industrial-inspection pipeline. You'll use NVIDIA DALI for fast data loading and augmentation, apply transfer learning to bootstrap accuracy from limited labeled data, evaluate models against realistic metrics, and deploy with NVIDIA Triton Inference Server. By the end you'll have a defensible workflow for taking a CV inspection model from messy data to production.",Kevin McFall,2024
Rapid Application Development Using Large Language Models (LLMs),"Move from LLM concepts to a working application end-to-end. The workshop starts with transformer fundamentals — tokenization, embeddings, attention — then progresses through encoder models for semantic search, classification, and zero-shot tasks, decoder models for generation, and encoder-decoder architectures for translation and few-shot work. You'll bring it together with LangChain for orchestration and agentic workflows, integrate tool calling, and build a multimodal application combining text, images, and external data. Technologies: Python, PyTorch, Hugging Face Transformers, LangChain, LlamaIndex.",Amit Bleiweiss,2024
Enhancing Data Science Outcomes with Efficient Workflow,"Most data science work is bottlenecked by the workflow around the model — ETL, feature engineering, experimentation — not the model itself. This workshop shows how to GPU-accelerate the full pipeline with the RAPIDS ecosystem: cuDF as a drop-in replacement for pandas, cuML for scikit-learn-compatible machine learning, and Dask for scaling out across GPUs. You'll convert a real workflow from CPU to GPU, profile where the wins come from, and learn the patterns that produce 10x+ speedups on common data science tasks.",Hashim Almutairi,2024
Applications of AI for Anomaly Detection,"Anomaly detection has applications across cybersecurity, fraud, manufacturing, and operations — but it's harder than supervised learning because the interesting examples are rare and the definition of ""normal"" drifts over time. This workshop covers three complementary approaches: XGBoost for tabular detection with engineered features, autoencoders for unsupervised detection on high-dimensional data, and GANs for harder cases where the model needs to learn the distribution of normal samples. The running example is detecting anomalous network traffic from KDD-style data, with deployment via NVIDIA Triton at the end.",Kevin McFall,2024
Model Parallelism: Building and Deploying Large Neural Networks,"When a model is too big to fit on a single GPU, you need to split it across devices. This workshop covers the techniques that make training and serving large models tractable: tensor parallelism (splitting individual layers), pipeline parallelism (splitting layers across stages), and combinations of the two with data parallelism. You'll use the NVIDIA Megatron framework to train large language models hands-on, address memory and communication bottlenecks, and learn the deployment side — how to serve these models efficiently with NVIDIA Triton Inference Server.",Olya Kozlova,2024
